ID,COMBINATION,BOX,RFID,SEX ,PAIR,LAT,LON
J56,BMRG,Z02,010C10EA1E,F,1,50.198435,-5.168694
J1345,OMGY,Z02,010C11666A,M,1,50.198435,-5.168694
J1351,RZOBM,Z05,010C1108EB,M,2,50.198564,-5.168397
J1312,WMYB,Z08,010C11129C,F,3,50.198547,-5.168908
J81,RMRZP,Z08,010C115391,M,3,50.198547,-5.168908
J265,GMWG,Z19,010C11C061,M,4,50.198722,-5.169692
J1343,OMRR,Z26,010C11B204,F,5,50.198356,-5.170053
J430,YMBZW,Z26,010C1192E3,M,5,50.198356,-5.170053
J899,RWWM,Z27,010C10C3A5,M,6,50.19838,-5.170642
J956,BYRM,Z29,010C116184,M,7,50.198564,-5.17068
J600,YVOM,Z37,010C11059F,F,8,50.19794211,-5.168534885
J1357,BZMBZB,Z37,010C114E81,M,8,50.19794211,-5.168534885
J1314,WMRY,Z41,010C117E53,F,9,50.19953541,-5.169505722
J1356,BZMOV,Z41,010C10EFE8,M,9,50.19953541,-5.169505722
J883,RMOZY,Z45,010C1111B5,F,10,50.19982428,-5.171222124
J320,GMYV,Z45,010C11922B,M,10,50.19982428,-5.171222124
J795,YMRW,Z03,010C10CA44,F,11,50.198334,-5.169241
J1363,GGGM,Z03,010C11A61D,M,11,50.198334,-5.169241
J241,GMBZY,Z06,0110174778,F,13,50.198594,-5.16857
J271,RMOW,Z06,010C10D28E,M,13,50.198594,-5.16857
J41,YMYW,Z07,010C11BEB7,F,14,50.198665,-5.168653
J1341,GMSG,Z07,010C11BBA6,M,14,50.198665,-5.168653
J1311,GMYG,Z11,010C110319,F,16,50.198779,-5.169403
J258,BMOP,Z11,010C112145,M,16,50.198779,-5.169403
J145,RMBZP,Z15,010C10AB53,M,17,50.198971,-5.169436
J572,RRBM,Z16,010C1145EF,F,18,50.199084,-5.169429
J257,BMWY,Z16,010C1180A0,M,18,50.199084,-5.169429
J164,BMWP,Z17,010C116DC1,F,19,50.199148,-5.169564
J831,YRBM,Z17,010C11B911,M,19,50.199148,-5.169564
J262,BMBZP,Z18,010C11501E,F,20,50.198782,-5.169697
J838,WBBM,Z18,010C10D28B,M,20,50.198782,-5.169697
J1358,YMOW,Z20,010C109A2B,F,22,50.198682,-5.169751
J234,GMRZY,Z20,010C112B13,M,22,50.198682,-5.169751
J267,RMGZW,Z22,010C10BEA5,M,23,50.198574,-5.170018
J796,YMRB,Z23,010C11AD13,F,24,50.198532,-5.169905
J1346,OMOR,Z23,010C10CBBD,M,24,50.198532,-5.169905
J289,WMSW,Z24,010C117822,M,25,50.198473,-5.169863
J912,GOWM,Z25,010C111428,F,26,50.19841002,-5.169931719
J1360,BZMYY,Z25,010C10ED6C,M,26,50.19841002,-5.169931719
J146,RMRG,Z28,010C10E542,F,29,50.198468,-5.170662
J219,GMGY,Z28,0110171857,M,29,50.198468,-5.170662
J861,BZMOW,Z30,010C11169A,M,31,50.198823,-5.170664
J1355,GMWY,Z33,010C10F4E2,F,32,50.199129,-5.170824
J933,BOBM,Z33,010C10AEF3,M,32,50.199129,-5.170824
J798,YMSV,Z38,010C119C7E,F,34,50.19780735,-5.168733441
J302,RMBW,Z38,010C11A10A,M,34,50.19780735,-5.168733441
J837,WWBM,Z13,010C11374F,M,36,50.198888,-5.169691
J36,RMYS,Z43,0110174871,F,37,50.20034028,-5.170551314
J833,GBRM,Z43,010C11BC8D,M,37,50.20034028,-5.170551314
J792,YMOY,Z44,010C111C65,F,38,50.1996856,-5.17118686
J312,RMRZB,Z44,010C113763,M,38,50.1996856,-5.17118686
